1,Wicked Stepmother ,1989, as Miranda,A couple comes home from vacation to find that their grandfather has re-married The stepmother (a witch) takes over and the couple plot to get rid of her
2,Directed By William Wyler ,1988, as Herself,"During the Golden Age of Hollywood, William Wyler was one of the most commerically successful film directors Here the filmmaker examines clips from his most famous films and interviews with his most famous stars Included is an interview that Wyler gave in 1981, three days before he died"
3,"Whales of August, The ",1987, as Libby Strong,"Drama revolving around five unusual elderly characters, two of whom are sisters, at the end of a summer on a Maine island, as they undergo various emotional changes in their lives"
